Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,UST_ID,UST_ID2
1,,C,C25,1pF,C_0805_2012Metric,1, ,~,5c70984712875079b91f8b9f,
2,,C,C16 C48,1nF,C_0805_2012Metric,2, ,~,5c70984812875079b91f8ba6,
3,,C,C15,3n3,C_0805_2012Metric,1, ,~,651abc26462c6d9e720551fa,
4,,C_Small,C1 C2 C4 C5 C7 C8 C10 C12 C14 C17 C18 C19 C20 C28 C30 C33 C36 C38 C41 C42 C43 C44 C45 C46 C47 C50 C52,100nF,C_0805_2012Metric,27, ,~,5c70984712875079b91f8b4c 6508260b462c6d9e720541f1,
5,,C,C22 C29 C32,1uF,C_1210_3225Metric,3, ,,65082f52462c6d9e72054238,
6,,Filter_EMI_C,C37,1uF,FIR_0805,1, ,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,5c70984412875079b91f880f,
7,,C_Polarized,C3 C6 C9 C11 C13,10uF,CP_EIA-3216-18_Kemet-A,5, ,~,65089dd0462c6d9e720542b3,
8,,C_Polarized_Small,C21 C26 C27 C34,10uF,CP_EIA-3216-18_Kemet-A,4, ,https://eu.mouser.com/datasheet/2/40/TAJ-3165264.pdf,65089dd0462c6d9e720542b3,
9,,C,C39 C40 C49 C51,10uF,C_0805_2012Metric,4, ,~,5c70984712875079b91f8b53,
10,,D_Photo,D1,S2744-09,HAMAMATSU_S2744-09,1, ,https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/ssd/s2744-08_etc_kpin1049e.pdf,628d118cdc56076e9a2235e4,
11,,LOGO,G1,LOGO,UST,1, ,~,,
12,,HEADER_2x15,J1,HEADER_2x15,Straight_2x15,1, ,,,
13,,L_Ferrite_Small,L1,NL03KT330,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,64fe1808f3b9d36f37fc944d,
14,,HOLE,M1 M2 M3 M4,HOLE,MountingHole_3mm,4, ,,,
15,,RFShield_TwoPieces,M5,RFShield_TwoPieces,Laird_Technologies_BMI-S-210-F_44.00x30.50mm,1, ,~,5c70984312875079b91f873d,5c70984312875079b91f873c
16,,Q_NJFET_SDG,Q1,2SK2394-6,SOT-23,1, ,~,628d134fdc56076e9a223625,
17,,R,R6,10,R_0805_2012Metric,1, ,~,5c70984512875079b91f896d,
18,,R,R1 R2 R3,100,R_0805_2012Metric,3, ,~,5c70984512875079b91f8977,
19,,R,R10 R19 R21,470R,R_0805_2012Metric,3, ,~,5c70984512875079b91f8986,
20,,R,R7,1k,R_0805_2012Metric,1, ,~,5c70984512875079b91f898c,
21,,R,R12 R14 R15 R16 R17,4k7,R_0805_2012Metric,5, ,~,5c70984612875079b91f8995,
22,,R,R4 R5 R29 R30,10k,R_0805_2012Metric,4, ,~,5c70984612875079b91f899f,
23,,R,R13,10M,R_0805_2012Metric,1, ,~,5c70984712875079b91f8aae,
24,,AD8691,U2 U4,AD8691,TSOT-23-5,2, ,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8691_8692_8694.pdf,5d47c084128750448e6b4671,
25,,AT24CS64-SSHM,U11,AT24CS64-SSHM,SOIC-8_3.9x4.9mm_P1.27mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf,5c70984712875079b91f8b99,
26,,ISL21070CIH320Z-TK,U1,ISL21080CIH341Z-TK,SOT-23,1, ,https://cz.mouser.com/datasheet/2/698/REN_isl21080_DST_20040119-1998038.pdf,6555591d0c8d609e3e79abc1,
27,,ISL21070CIH320Z-TK,U10,ISL21080DIH309,SOT-23,1, ,https://www.renesas.com/us/en/document/dst/isl21080-datasheet,5c70984712875079b91f8b0b,
28,,LTC1865-MS,U3,LTC1865-MS,MSOP-10_3x3mm_P0.5mm,1, ,https://www.analog.com/media/en/technical-documentation/data-sheets/18645fb.pdf,67f14385ee7fc534862c535e,
29,,MIC5504-3.3YM5,U15,MIC5504-3.3YM5-TR,SOT-23-5,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2,
30,,OPA314,U8,OPA314,SOT-23-5,1, ,https://www.ti.com/lit/ds/symlink/opa314.pdf,5c70984412875079b91f879a,
31,,SHT31-DIS,U7,SHT31-DIS,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1, ,https://sensirion.com/media/documents/213E6A3B/63A5A569/Datasheet_SHT3x_DIS.pdf,5c70984612875079b91f89e4,
32,,74LVC2G74,U5,SN74LVC2G74,VSSOP-8_2.3x2mm_P0.5mm,1, ,https://www.ti.com/lit/ds/symlink/sn74lvc2g74-ep.pdf,65555d4795a79cc5ac409b41,
33,,74LVC2T45DC,U12 U13 U14,SN74LVC2T45DCU,VSSOP-8_2.3x2mm_P0.5mm,3, ,https://assets.nexperia.com/documents/data-sheet/74LVC_LVCH2T45.pdf,65555a850c8d609e3e79abde,
34,,AD8691,U6,TS3021ILT,SOT-23-5,1, ,https://www.st.com/resource/en/datasheet/ts3021.pdf,5d47bfd4128750448e6b465e,





Project info:
Schematic:,USTSIPIN03
Variant:,default
Revision:,
Date:,2024-05-30
KiCad Version:,8.0.8+1
Statistics:
Component Groups:,34
Component Count:,90
Fitted Components:,90
Number of PCBs:,1
Total Components:,90
