Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,ust_id2
1,Unpolarized capacitor,C,C25,1pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b9f,
2,Unpolarized capacitor,C,C16,1nF,C_0805_2012Metric,1,~,5c70984812875079b91f8ba6,
3,Unpolarized capacitor,C,C48,1nF,C_0805_2012Metric,1,~,5c70984812875079b91f8ba6,
4,Unpolarized capacitor,C,C15,3n3,C_0805_2012Metric,1,~,651abc26462c6d9e720551fa,
5,"Unpolarized capacitor, small symbol",C_Small,C1,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
6,Unpolarized capacitor,C,C10,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
7,Unpolarized capacitor,C,C12,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
8,Unpolarized capacitor,C,C14,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
9,Unpolarized capacitor,C,C17,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
10,Unpolarized capacitor,C,C18,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
11,"Unpolarized capacitor, small symbol",C_Small,C19,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
12,"Unpolarized capacitor, small symbol",C_Small,C2,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
13,Unpolarized capacitor,C,C20,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
14,Unpolarized capacitor,C,C28,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
15,Unpolarized capacitor,C,C30,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
16,Unpolarized capacitor,C,C33,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
17,Unpolarized capacitor,C,C36,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
18,"Unpolarized capacitor, small symbol",C_Small,C38,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
19,Unpolarized capacitor,C,C4,100nF,C_0805_2012Metric,1,~,6508260b462c6d9e720541f1,
20,"Unpolarized capacitor, small symbol",C_Small,C41,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
21,"Unpolarized capacitor, small symbol",C_Small,C42,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
22,"Unpolarized capacitor, small symbol",C_Small,C43,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
23,"Unpolarized capacitor, small symbol",C_Small,C44,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
24,"Unpolarized capacitor, small symbol",C_Small,C45,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
25,"Unpolarized capacitor, small symbol",C_Small,C46,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
26,"Unpolarized capacitor, small symbol",C_Small,C47,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
27,"Unpolarized capacitor, small symbol",C_Small,C5,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,
