Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",42.8030,13.9188,90.0000,bottom
"C2","100nF","C_0805_2012Metric",24.8412,37.2872,-90.0000,bottom
"C3","10uF","CP_EIA-3216-18_Kemet-A",33.4772,37.7298,0.0000,bottom
"C4","100nF","C_0805_2012Metric",32.8422,35.4908,0.0000,bottom
"C5","100nF","C_0805_2012Metric",51.2318,34.8996,-90.0000,bottom
"C6","10uF","CP_EIA-3216-18_Kemet-A",22.3266,13.2334,180.0000,bottom
"C7","100nF","C_0805_2012Metric",22.9108,15.3924,180.0000,bottom
"C8","100nF","C_0805_2012Metric",29.6164,29.4640,180.0000,bottom
"C9","10uF","CP_EIA-3216-18_Kemet-A",26.1620,33.1978,90.0000,bottom
"C10","100nF","C_0805_2012Metric",26.0350,29.4894,0.0000,bottom
"C11","10uF","CP_EIA-3216-18_Kemet-A",22.4536,33.1724,180.0000,bottom
"C12","100nF","C_0805_2012Metric",22.4790,29.5148,180.0000,bottom
"C13","10uF","CP_EIA-3216-18_Kemet-A",35.2806,16.4846,180.0000,bottom
"C14","100nF","C_0805_2012Metric",35.8902,18.8468,180.0000,bottom
"C15","3n3","C_0805_2012Metric",34.9250,22.7076,-90.0000,bottom
"C16","1nF","C_0805_2012Metric",33.8328,28.6512,-90.0000,bottom
"C17","100nF","C_0805_2012Metric",38.8366,28.5858,180.0000,bottom
"C18","100nF","C_0805_2012Metric",11.4554,19.5580,0.0000,bottom
"C19","100nF","C_0805_2012Metric",55.5178,37.8588,90.0000,bottom
"C20","100nF","C_0805_2012Metric",56.1732,28.7492,180.0000,bottom
"C21","10uF","CP_EIA-3216-18_Kemet-A",58.4454,31.1912,0.0000,bottom
"C22","1uF","C_1210_3225Metric",58.8518,19.6850,0.0000,bottom
"C23","100nF","C_0805_2012Metric",45.8828,38.1946,180.0000,bottom
"C24","10uF","CP_EIA-3216-18_Kemet-A",48.8546,33.1400,-90.0000,bottom
"C25","1pF","C_0805_2012Metric",52.6946,28.7452,0.0000,bottom
"C26","10uF","CP_EIA-3216-18_Kemet-A",49.0434,14.3252,90.0000,bottom
"C27","10uF","CP_EIA-3216-18_Kemet-A",55.0458,14.2998,90.0000,bottom
"C28","100nF","C_0805_2012Metric",57.4588,13.7918,90.0000,bottom
"C29","1uF","C_1210_3225Metric",52.0446,19.7866,180.0000,bottom
"C30","100nF","C_0805_2012Metric",49.0474,28.7528,0.0000,bottom
"C31","100nF","C_0805_2012Metric",41.7576,28.7128,90.0000,bottom
